ID	LABEL
obo:SDDO_3000043	Project
obo:SDDO_3000044	Event
obo:SDDO_3000045	Campaign
obo:SDDO_3000046	ToolDiscoveryCriterion
obo:SDDO_3000047	Assay
obo:SDDO_3000048	DataProductOrService
obo:SDDO_3000049	NeedsDiscussion
obo:SDDO_3000050	SelectionParameter
obo:SDDO_3000051	DataProduct
obo:SDDO_3000052	EngineeringPlatform
obo:SDDO_3000053	Legend
obo:SDDO_3000054	Hardware
obo:SDDO_3000055	MutableNecessaryEvil
obo:SDDO_3000056	Author
obo:SDDO_3000057	InstrumentDiscoveryCriterion
obo:SDDO_3000058	InstrumentOperatingModeDiscoveryCriterion
obo:SDDO_3000059	SpaceAgency
obo:SDDO_3000060	Platform
obo:SDDO_3000061	ApplicationDiscoveryCriterion
obo:SDDO_3000062	DiscoveryCriterion
obo:SDDO_3000063	ResearchStudy
obo:SDDO_3000064	DataProductDiscoveryCriterion
obo:SDDO_3000065	Organism
obo:SDDO_3000066	ProductService
obo:SDDO_3000067	SciencePlatform
obo:SDDO_3000068	DataProperties
obo:SDDO_3000069	Study
obo:SDDO_3000070	DefinedClasses
obo:SDDO_3000071	Factor
obo:SDDO_3000072	ModelDiscoveryCriterion
obo:SDDO_3000073	DataSelectionParameter
obo:SDDO_3000074	DataDiscoveryCriterion
obo:SDDO_3000075	AccessInterface
obo:SDDO_3000076	InformationDiscoveryCriterion
obo:SDDO_3000077	ResearchInvestigation
obo:SDDO_3000078	Specimen
obo:SDDO_3000079	InformationProduct
obo:SDDO_3000080	ExperimentApparatus
obo:SDDO_3000081	Deployment
obo:SDDO_3000082	InformationSelectionParameter
obo:SDDO_3000083	EngineeringMission
obo:SDDO_3000084	Software
obo:SDDO_3000085	InformationProductService
obo:SDDO_3000086	Funder
obo:SDDO_3000087	InstrumentOperatingMode
obo:SDDO_3000088	Mission
obo:SDDO_3000089	LaboratoryProcedure
obo:SDDO_3000090	Person
obo:SDDO_3000091	NASAMission
obo:SDDO_3000092	Instrument
obo:SDDO_3000093	MissionDiscoveryCriterion
obo:SDDO_3000094	Experiment
obo:SDDO_3000095	MetadataProduct
obo:SDDO_3000096	Feature
obo:SDDO_3000097	SpaceTimeBoundingDiscoveryCriterion
obo:SDDO_3000098	Facility
obo:SDDO_3000099	Phenomenon
obo:SDDO_3000100	Observation
obo:SDDO_3000101	PhotoGallery
obo:SDDO_3000102	DiscoveryInterface
obo:SDDO_3000103	Organization
obo:SDDO_3000104	ExperimentDiscoveryCriterion
obo:SDDO_3000105	Investigator
obo:SDDO_3000106	OperationDiscoveryCriterion
obo:SDDO_3000107	Program
obo:SDDO_3000108	LocationDiscoveryCriterion
obo:SDDO_3000109	Document
obo:SDDO_3000110	DataParameter
obo:SDDO_3000111	SampleDiscoveryCriterion
obo:SDDO_3000112	ResearchMission
obo:SDDO_3000113	Firmware
obo:SDDO_3000114	ObservableDiscoveryCriterion
obo:SDDO_3000115	PlatformDiscoveryCriterion
